GeneID	Annotation_GO_ID
LOC111099830	unknown
LOC111099830	unknown
LOC111099831	unknown
LOC111099835	GO:0034641
LOC111099839	unknown
LOC111099841	GO:0003674
LOC111099841	GO:0003674
LOC111099844	GO:0003674
LOC111099845	GO:0008289;GO:0043167
LOC111099846	GO:0006464;GO:0007165
LOC111099846	GO:0006464;GO:0007165
LOC111099849	unknown
LOC111099849	unknown
LOC111099849	unknown
LOC111099849	unknown
LOC111099849	unknown
LOC111099849	unknown
LOC111099849	unknown
LOC111099850	unknown
LOC111099851	GO:0016491;GO:0043167
LOC111099854	unknown
LOC111099854	unknown
LOC111099859	GO:0005575
LOC111099861	unknown
LOC111099862	GO:0005576;GO:0030234
LOC111099863	unknown
LOC111099864	GO:0043167
LOC111099864	GO:0043167
LOC111099865	GO:0006950;GO:0016491
LOC111099866	unknown
LOC111099867	unknown
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0019899
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0019899
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099870	GO:0007165;GO:0019899;GO:0030234
LOC111099872	unknown
LOC111099878	unknown
LOC111099878	unknown
LOC111099880	unknown
LOC111099880	unknown
LOC111099880	unknown
LOC111099881	GO:0005622;GO:0008233
LOC111099882	GO:0005975;GO:0006091;GO:0009056;GO:0009058;GO:0016301;GO:0042592;GO:0043167;GO:0044281
LOC111099887	GO:0003674
LOC111099888	unknown
LOC111099888	unknown
LOC111099888	unknown
LOC111099889	unknown
LOC111099892	unknown
LOC111099892	unknown
LOC111099892	unknown
LOC111099892	unknown
LOC111099892	unknown
LOC111099892	unknown
LOC111099893	unknown
LOC111099893	unknown
LOC111099894	unknown
LOC111099894	unknown
LOC111099894	unknown
LOC111099894	unknown
LOC111099894	unknown
LOC111099894	unknown
LOC111099896	unknown
LOC111099896	unknown
LOC111099898	GO:0003674
LOC111099902	unknown
LOC111099904	GO:0043167
LOC111099909	GO:0003677;GO:0009058;GO:0034641
LOC111099910	unknown
LOC111099910	unknown
LOC111099911	unknown
LOC111099913	unknown
LOC111099914	GO:0043167
LOC111099916	unknown
LOC111099916	unknown
LOC111099916	unknown
LOC111099917	GO:0043167
LOC111099921	unknown
LOC111099922	GO:0003674;GO:0006397
LOC111099924	unknown
LOC111099925	GO:0005634;GO:0009058;GO:0034641
LOC111099925	GO:0005634;GO:0009058;GO:0034641
LOC111099926	unknown
LOC111099926	unknown
LOC111099928	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099929	unknown
LOC111099934	GO:0002376;GO:0006950
LOC111099936	GO:0003674
LOC111099942	unknown
LOC111099946	unknown
LOC111099949	GO:0005575;GO:0006464;GO:0009058;GO:0016757
LOC111099952	GO:0016491;GO:0043167
LOC111099952	GO:0016491;GO:0043167
LOC111099953	GO:0005575
LOC111099956	GO:0003674
LOC111099956	GO:0003674
LOC111099956	GO:0003674
LOC111099956	GO:0003674
LOC111099958	unknown
LOC111099959	GO:0003674;GO:0007165
LOC111099959	GO:0003674;GO:0007165
LOC111099960	unknown
LOC111099961	GO:0003674
LOC111099963	unknown
LOC111099963	unknown
LOC111099964	unknown
LOC111099966	unknown
LOC111099979	unknown
LOC111099982	GO:0009056
LOC111099982	GO:0009056
LOC111099985	GO:0016491;GO:0043167
LOC111099992	GO:0003674
LOC111099993	unknown
LOC111099993	unknown
LOC111099994	unknown
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099995	GO:0005737;GO:0006629;GO:0009058;GO:0016874;GO:0032991;GO:0043167;GO:0044281
LOC111099997	unknown
LOC111099997	unknown
LOC111099998	GO:0003674;GO:0005576;GO:0008150
LOC111099998	GO:0003674;GO:0005576;GO:0008150
LOC111100004	unknown
LOC111100010	unknown
LOC111100010	unknown
LOC111100010	unknown
LOC111100010	unknown
LOC111100010	unknown
LOC111100011	GO:0008219
LOC111100011	GO:0008219
LOC111100011	GO:0006091;GO:0008219;GO:0016887;GO:0022857;GO:0032991
LOC111100012	GO:0006464;GO:0006810
LOC111100013	GO:0003674;GO:0005575;GO:0007165;GO:0007267
LOC111100013	GO:0003674;GO:0005575;GO:0007165;GO:0007267
LOC111100013	GO:0003674;GO:0005575;GO:0007165;GO:0007267
LOC111100016	unknown
LOC111100017	unknown
LOC111100018	unknown
LOC111100018	unknown
LOC111100018	unknown
LOC111100020	GO:0043167
